Neuron 1,Neuron 2,Type,Nbr
ADAR,ADAL,EJ,1.0
ADFL,ADAL,EJ,1.0
ASHL,ADAL,EJ,1.0
AVDR,ADAL,EJ,2.0
PVQL,ADAL,EJ,1.0
ADEL,ADAL,Sp,1.0
ADFL,ADAL,Sp,1.0
AIAL,ADAL,Sp,1.0
AIBL,ADAL,R,1.0
AIBR,ADAL,Rp,2.0
ASHL,ADAL,Sp,1.0
AVAR,ADAL,Rp,2.0
AVBL,ADAL,Rp,4.0
AVBR,ADAL,R,2.0
AVBR,ADAL,Rp,5.0
AVDL,ADAL,Rp,1.0
AVEL,ADAL,Rp,1.0
AVJR,ADAL,Rp,5.0
AWAL,ADAL,S,1.0
FLPR,ADAL,Rp,1.0
PVPL,ADAL,Sp,1.0
PVR,ADAL,Sp,1.0
RICL,ADAL,R,1.0
RICL,ADAL,Rp,1.0
RICR,ADAL,Rp,1.0
RIML,ADAL,Rp,3.0
RIPL,ADAL,Rp,1.0
RMGL,ADAL,Sp,1.0
SMDVR,ADAL,R,2.0
ADAL,ADAR,EJ,1.0
ADFR,ADAR,EJ,1.0
ASHR,ADAR,EJ,1.0
AVDL,ADAR,EJ,2.0
PVQR,ADAR,EJ,1.0
ADER,ADAR,Sp,1.0
ADFR,ADAR,Sp,1.0
AIAR,ADAR,Sp,1.0
AIBL,ADAR,Rp,1.0
AIBR,ADAR,Rp,1.0
ASHR,ADAR,Sp,2.0
AVAL,ADAR,Rp,1.0
AVBL,ADAR,R,1.0
AVBL,ADAR,Rp,1.0
AVBR,ADAR,Rp,5.0
AVEL,ADAR,Rp,1.0
AVJL,ADAR,R,1.0
AVJL,ADAR,Rp,2.0
RICL,ADAR,Rp,1.0
RICL,ADAR,Sp,1.0
RICR,ADAR,Sp,1.0
RIMR,ADAR,Rp,5.0
RIMR,ADAR,Sp,1.0
RIPR,ADAR,Rp,1.0
RIVR,ADAR,Rp,1.0
RMGR,ADAR,Sp,1.0
SMDVL,ADAR,R,2.0
URBR,ADAR,Sp,1.0
ADAL,ADEL,Rp,1.0
AINL,ADEL,EJ,1.0
AVKR,ADEL,EJ,1.0
ADER,ADEL,Rp,1.0
ADER,ADEL,Sp,2.0
ALA,ADEL,Sp,1.0
AVAL,ADEL,Rp,2.0
AVAR,ADEL,Rp,3.0
AVEL,ADEL,Rp,1.0
AVL,ADEL,R,1.0
BDUL,ADEL,Rp,1.0
BDUL,ADEL,S,3.0
CEPDL,ADEL,R,1.0
FLPL,ADEL,R,1.0
FLPL,ADEL,Rp,1.0
FLPL,ADEL,Sp,2.0
IL1L,ADEL,Rp,1.0
IL2L,ADEL,R,1.0
IL2L,ADEL,Rp,1.0
IL2L,ADEL,Sp,2.0
OLLL,ADEL,R,1.0
OLLL,ADEL,Rp,1.0
RIAL,ADEL,Rp,1.0
RIFL,ADEL,Rp,1.0
RIGL,ADEL,R,2.0
RIGL,ADEL,Rp,3.0
RIGR,ADEL,R,3.0
RIGR,ADEL,Rp,3.0
RIH,ADEL,Rp,2.0
RIVL,ADEL,Rp,1.0
RIVR,ADEL,Rp,1.0
RMDL,ADEL,R,2.0
RMDL,ADEL,Rp,2.0
RMGL,ADEL,R,1.0
RMHL,ADEL,Rp,1.0
SIADR,ADEL,Rp,1.0
SIBDR,ADEL,Rp,1.0
SMBDR,ADEL,Rp,1.0
URBL,ADEL,Rp,1.0
ADAR,ADER,Rp,1.0
ADEL,ADER,Rp,2.0
ADEL,ADER,Sp,1.0
AVKL,ADER,EJ,1.0
ALA,ADER,Rp,1.0
ALNR,ADER,S,1.0
AVAL,ADER,R,1.0
AVAL,ADER,Rp,4.0
AVAR,ADER,Rp,1.0
AVAR,ADER,Sp,1.0
AVDR,ADER,Rp,2.0
AVER,ADER,R,1.0
AVJR,ADER,Rp,1.0
AVKL,ADER,R,1.0
AVKL,ADER,Rp,1.0
AVKR,ADER,Rp,1.0
AVM,ADER,S,1.0
AVM,ADER,Sp,1.0
BDUR,ADER,S,1.0
CEPDR,ADER,R,1.0
FLPL,ADER,Rp,1.0
FLPL,ADER,Sp,2.0
FLPR,ADER,Rp,1.0
FLPR,ADER,S,1.0
FLPR,ADER,Sp,1.0
IL2R,ADER,S,1.0
IL2R,ADER,Sp,1.0
OLLR,ADER,Rp,2.0
PVR,ADER,Rp,1.0
RIGL,ADER,R,4.0
